song,performer,date,chart_position,hitTF
What She Wants Tonight,Luke Bryan,2020-04-25,77,1
Sigues Con El,Arcangel x Sech,2020-04-25,78,1
Here And Now,Kenny Chesney,2020-04-25,79,1
Die From A Broken Heart,Maddie & Tae,2020-04-25,80,1
Underdog,Alicia Keys,2020-04-25,81,1
Emotionally Scarred,Lil Baby,2020-04-25,82,1
That Way,Lil Uzi Vert,2020-04-25,83,1
DND,Polo G,2020-04-25,84,1
July,Noah Cyrus & Leon Bridges,2020-04-25,85,1
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",2020-04-25,86,1
Ridin' Roads,Dustin Lynch,2020-04-25,87,1
The Man,Taylor Swift,2020-04-25,88,1
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-04-25,89,1
PTSD,"G Herbo Featuring Chance The Rapper, Juice WRLD & Lil Uzi Vert",2020-04-25,90,1
Grace,Lil Baby & 42 Dugg,2020-04-25,91,1
P2,Lil Uzi Vert,2020-04-25,92,1
In Between,Scotty McCreery,2020-04-25,93,1
Yummy,Justin Bieber,2020-04-25,94,1
Captain Hook,Megan Thee Stallion,2020-04-25,95,1
Ride It.,Regard,2020-04-25,96,1
B.I.T.C.H.,Megan Thee Stallion,2020-04-25,97,1
Girl Of My Dreams,Rod Wave,2020-04-25,98,1
B.S.,Jhene Aiko Featuring H.E.R.,2020-04-25,99,1
Boss Bitch,Doja Cat,2020-04-25,100,1
Toosie Slide,Drake,2020-04-18,1,1
Blinding Lights,The Weeknd,2020-04-18,2,1
The Box,Roddy Ricch,2020-04-18,3,1
Don't Start Now,Dua Lipa,2020-04-18,4,1
Life Is Good,Future Featuring Drake,2020-04-18,5,1
Circles,Post Malone,2020-04-18,6,1
Adore You,Harry Styles,2020-04-18,7,1
Say So,Doja Cat Featuring Nicki Minaj,2020-04-18,8,1
Intentions,Justin Bieber Featuring Quavo,2020-04-18,9,1
Everything I Wanted,Billie Eilish,2020-04-18,10,1
Someone You Loved,Lewis Capaldi,2020-04-18,11,1
The Bones,Maren Morris,2020-04-18,12,1
My Oh My,Camila Cabello Featuring DaBaby,2020-04-18,13,1
Savage,Megan Thee Stallion,2020-04-18,14,1
Memories,Maroon 5,2020-04-18,15,1
Roxanne,Arizona Zervas,2020-04-18,16,1
Hot Girl Bummer,blackbear,2020-04-18,17,1
Blueberry Faygo,Lil Mosey,2020-04-18,18,1
Heartless,The Weeknd,2020-04-18,19,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-18,20,1
Dance Monkey,Tones And I,2020-04-18,21,1
Find My Way,DaBaby,2020-04-18,22,1
Falling,Trevor Daniel,2020-04-18,23,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-04-18,24,1
Heart On Ice,Rod Wave,2020-04-18,25,1
Ballin',Mustard & Roddy Ricch,2020-04-18,26,1
Chasin' You,Morgan Wallen,2020-04-18,27,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-04-18,28,1
Catch,Brett Young,2020-04-18,29,1
Roses,SAINt JHN,2020-04-18,30,1
High Fashion,Roddy Ricch Featuring Mustard,2020-04-18,31,1
Stupid Love,Lady Gaga,2020-04-18,32,1
Death Bed,Powfu Featuring beabadoobee,2020-04-18,33,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-18,34,1
BOP,DaBaby,2020-04-18,35,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-18,36,1
More Hearts Than Mine,Ingrid Andress,2020-04-18,37,1
No Guidance,Chris Brown Featuring Drake,2020-04-18,38,1
Break My Heart,Dua Lipa,2020-04-18,39,1
Hard To Forget,Sam Hunt,2020-04-18,40,1
I Love Me,Demi Lovato,2020-04-18,41,1
Slow Dance In A Parking Lot,Jordan Davis,2020-04-18,42,1
Suicidal,YNW Melly & Juice WRLD,2020-04-18,43,1
Sunday Best,Surfaces,2020-04-18,44,1
Slide,H.E.R. Featuring YG,2020-04-18,45,1
Turks,"NAV, Gunna & Travis Scott",2020-04-18,46,1
In Your Eyes,The Weeknd,2020-04-18,47,1
Homesick,Kane Brown,2020-04-18,48,1
BEST ON EARTH,Russ & BIA,2020-04-18,49,1
Does To Me,Luke Combs Featuring Eric Church,2020-04-18,50,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-04-18,51,1
You Should Be Sad,Halsey,2020-04-18,52,1
Godzilla,Eminem Featuring Juice WRLD,2020-04-18,53,1
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,2020-04-18,54,1
Dior,Pop Smoke,2020-04-18,55,1
Sum 2 Prove,Lil Baby,2020-04-18,56,1
Homemade,Jake Owen,2020-04-18,57,1
Believe It,PARTYNEXTDOOR & Rihanna,2020-04-18,58,1
Yo Perreo Sola,Bad Bunny,2020-04-18,59,1
Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020-04-18,60,1
Supalonely,BENEE Featuring Gus Dapperton,2020-04-18,61,1
What She Wants Tonight,Luke Bryan,2020-04-18,62,1
Before You Go,Lewis Capaldi,2020-04-18,63,1
Fuck The World,Rod Wave,2020-04-18,64,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-04-18,65,1
Tusa,Karol G & Nicki Minaj,2020-04-18,66,1
Pray 4 Love,Rod Wave,2020-04-18,67,1
Come Thru,Summer Walker & Usher,2020-04-18,68,1
After A Few,Travis Denning,2020-04-18,69,1
P*$$y Fairy (OTW),Jhene Aiko,2020-04-18,70,1
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",2020-04-18,71,1
Myron,Lil Uzi Vert,2020-04-18,72,1
Out West,JACKBOYS Featuring Young Thug,2020-04-18,73,1
Thief In The Night,Rod Wave,2020-04-18,74,1
The Other Side,SZA X Justin Timberlake,2020-04-18,75,1
Tycoon,Future,2020-04-18,76,1
I Remember,Rod Wave,2020-04-18,77,1
The Greatest,Rod Wave,2020-04-18,78,1
Underdog,Alicia Keys,2020-04-18,79,1
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-04-18,80,1
Bluebird,Miranda Lambert,2020-04-18,81,1
B.I.T.C.H.,Megan Thee Stallion,2020-04-18,82,1
If The World Was Ending,JP Saxe Featuring Julia Michaels,2020-04-18,83,1
Ribbon In The Sky,Rod Wave,2020-04-18,84,1
Emotionally Scarred,Lil Baby,2020-04-18,85,1
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",2020-04-18,86,1
That Way,Lil Uzi Vert,2020-04-18,87,1
The Man,Taylor Swift,2020-04-18,88,1
Last Time I Say Sorry,Kane Brown & John Legend,2020-04-18,89,1
After Hours,The Weeknd,2020-04-18,90,1
Ridin' Roads,Dustin Lynch,2020-04-18,91,1
P2,Lil Uzi Vert,2020-04-18,92,1
Here And Now,Kenny Chesney,2020-04-18,93,1
Yummy,Justin Bieber,2020-04-18,94,1
Thug Life,Rod Wave,2020-04-18,95,1
Heatin Up,Lil Baby & Gunna,2020-04-18,96,1
July,Noah Cyrus & Leon Bridges,2020-04-18,97,1
What A Man Gotta Do,Jonas Brothers,2020-04-18,98,1
No Weakness,Rod Wave,2020-04-18,99,1
Grace,Lil Baby & 42 Dugg,2020-04-18,100,1
Blinding Lights,The Weeknd,2020-04-11,1,1
The Box,Roddy Ricch,2020-04-11,2,1
Don't Start Now,Dua Lipa,2020-04-11,3,1
Circles,Post Malone,2020-04-11,4,1
Life Is Good,Future Featuring Drake,2020-04-11,5,1
Adore You,Harry Styles,2020-04-11,6,1
Say So,Doja Cat Featuring Nicki Minaj,2020-04-11,7,1
Intentions,Justin Bieber Featuring Quavo,2020-04-11,8,1
Everything I Wanted,Billie Eilish,2020-04-11,9,1
Someone You Loved,Lewis Capaldi,2020-04-11,10,1
Roxanne,Arizona Zervas,2020-04-11,11,1
Heartless,The Weeknd,2020-04-11,12,1
Memories,Maroon 5,2020-04-11,13,1
The Bones,Maren Morris,2020-04-11,14,1
My Oh My,Camila Cabello Featuring DaBaby,2020-04-11,15,1
Hot Girl Bummer,blackbear,2020-04-11,16,1
Turks,"NAV, Gunna & Travis Scott",2020-04-11,17,1
Savage,Megan Thee Stallion,2020-04-11,18,1
Blueberry Faygo,Lil Mosey,2020-04-11,19,1
Dance Monkey,Tones And I,2020-04-11,20,1
Break My Heart,Dua Lipa,2020-04-11,21,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-11,22,1
Believe It,PARTYNEXTDOOR & Rihanna,2020-04-11,23,1
Ballin',Mustard & Roddy Ricch,2020-04-11,24,1
Falling,Trevor Daniel,2020-04-11,25,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-04-11,26,1
Stupid Love,Lady Gaga,2020-04-11,27,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-11,28,1
BOP,DaBaby,2020-04-11,29,1
Heart On Ice,Rod Wave,2020-04-11,30,1
High Fashion,Roddy Ricch Featuring Mustard,2020-04-11,31,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-04-11,32,1
Suicidal,YNW Melly & Juice WRLD,2020-04-11,33,1
You Should Be Sad,Halsey,2020-04-11,34,1
No Guidance,Chris Brown Featuring Drake,2020-04-11,35,1
Chasin' You,Morgan Wallen,2020-04-11,36,1
Slow Dance In A Parking Lot,Jordan Davis,2020-04-11,37,1
Homesick,Kane Brown,2020-04-11,38,1
Roses,SAINt JHN,2020-04-11,39,1
Catch,Brett Young,2020-04-11,40,1
I Love Me,Demi Lovato,2020-04-11,41,1
In Your Eyes,The Weeknd,2020-04-11,42,1
Death Bed,Powfu Featuring beabadoobee,2020-04-11,43,1
More Hearts Than Mine,Ingrid Andress,2020-04-11,44,1
Slide,H.E.R. Featuring YG,2020-04-11,45,1
Woah,Lil Baby,2020-04-11,46,1
Godzilla,Eminem Featuring Juice WRLD,2020-04-11,47,1
BEST ON EARTH,Russ & BIA,2020-04-11,48,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-11,49,1
What She Wants Tonight,Luke Bryan,2020-04-11,50,1
Homemade,Jake Owen,2020-04-11,51,1
Sunday Best,Surfaces,2020-04-11,52,1
Yo Perreo Sola,Bad Bunny,2020-04-11,53,1
Dior,Pop Smoke,2020-04-11,54,1
Sum 2 Prove,Lil Baby,2020-04-11,55,1
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,2020-04-11,56,1
Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020-04-11,57,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-04-11,58,1
Does To Me,Luke Combs Featuring Eric Church,2020-04-11,59,1
Loyal,PARTYNEXTDOOR Featuring Drake,2020-04-11,60,1
After Hours,The Weeknd,2020-04-11,61,1
Supalonely,BENEE Featuring Gus Dapperton,2020-04-11,62,1
Myron,Lil Uzi Vert,2020-04-11,63,1
Tusa,Karol G & Nicki Minaj,2020-04-11,64,1
P*$$y Fairy (OTW),Jhene Aiko,2020-04-11,65,1
Before You Go,Lewis Capaldi,2020-04-11,66,1
Come Thru,Summer Walker & Usher,2020-04-11,67,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-04-11,68,1
Underdog,Alicia Keys,2020-04-11,69,1
The Other Side,SZA X Justin Timberlake,2020-04-11,70,1
Know Your Worth,Khalid x Disclosure,2020-04-11,71,1
Out West,JACKBOYS Featuring Young Thug,2020-04-11,72,1
Emotionally Scarred,Lil Baby,2020-04-11,73,1
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-04-11,74,1
P2,Lil Uzi Vert,2020-04-11,75,1
B.I.T.C.H.,Megan Thee Stallion,2020-04-11,76,1
Physical,Dua Lipa,2020-04-11,77,1
After A Few,Travis Denning,2020-04-11,78,1
That Way,Lil Uzi Vert,2020-04-11,79,1
B.S.,Jhene Aiko Featuring H.E.R.,2020-04-11,80,1
I Love My Country,Florida Georgia Line,2020-04-11,81,1
Grace,Lil Baby & 42 Dugg,2020-04-11,82,1
Make No Sense,YoungBoy Never Broke Again,2020-04-11,83,1
Yummy,Justin Bieber,2020-04-11,84,1
Save Your Tears,The Weeknd,2020-04-11,85,1
Safaera,"Bad Bunny, Jowell & Randy & Nengo Flow",2020-04-11,86,1
La Dificil,Bad Bunny,2020-04-11,87,1
Ridin' Roads,Dustin Lynch,2020-04-11,88,1
Si Veo A Tu Mama,Bad Bunny,2020-04-11,89,1
The Man,Taylor Swift,2020-04-11,90,1
Hard To Forget,Sam Hunt,2020-04-11,91,1
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-04-11,92,1
Last Time I Say Sorry,Kane Brown & John Legend,2020-04-11,93,1
What A Man Gotta Do,Jonas Brothers,2020-04-11,94,1
Heatin Up,Lil Baby & Gunna,2020-04-11,95,1
If The World Was Ending,JP Saxe Featuring Julia Michaels,2020-04-11,96,1
Vete,Bad Bunny,2020-04-11,97,1
Baby Pluto,Lil Uzi Vert,2020-04-11,98,1
Into The Unknown,Idina Menzel & AURORA,2020-04-11,99,1
July,Noah Cyrus & Leon Bridges,2020-04-11,100,1
Blinding Lights,The Weeknd,2020-04-04,1,1
The Box,Roddy Ricch,2020-04-04,2,1
Don't Start Now,Dua Lipa,2020-04-04,3,1
Heartless,The Weeknd,2020-04-04,4,1
Circles,Post Malone,2020-04-04,5,1
Life Is Good,Future Featuring Drake,2020-04-04,6,1
Adore You,Harry Styles,2020-04-04,7,1
Intentions,Justin Bieber Featuring Quavo,2020-04-04,8,1
Say So,Doja Cat Featuring Nicki Minaj,2020-04-04,9,1
Roxanne,Arizona Zervas,2020-04-04,10,1
Someone You Loved,Lewis Capaldi,2020-04-04,11,1
Everything I Wanted,Billie Eilish,2020-04-04,12,1
Hot Girl Bummer,blackbear,2020-04-04,13,1
Memories,Maroon 5,2020-04-04,14,1
Dance Monkey,Tones And I,2020-04-04,15,1
In Your Eyes,The Weeknd,2020-04-04,16,1
The Bones,Maren Morris,2020-04-04,17,1
My Oh My,Camila Cabello Featuring DaBaby,2020-04-04,18,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-04,19,1
Savage,Megan Thee Stallion,2020-04-04,20,1
Alone Again,The Weeknd,2020-04-04,21,1
After Hours,The Weeknd,2020-04-04,22,1
Ballin',Mustard & Roddy Ricch,2020-04-04,23,1
Scared To Live,The Weeknd,2020-04-04,24,1
Hardest To Love,The Weeknd,2020-04-04,25,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-04-04,26,1
Stupid Love,Lady Gaga,2020-04-04,27,1
Too Late,The Weeknd,2020-04-04,28,1
Falling,Trevor Daniel,2020-04-04,29,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-04,30,1
BOP,DaBaby,2020-04-04,31,1
Snowchild,The Weeknd,2020-04-04,32,1
You Should Be Sad,Halsey,2020-04-04,33,1
No Guidance,Chris Brown Featuring Drake,2020-04-04,34,1
Suicidal,YNW Melly & Juice WRLD,2020-04-04,35,1
High Fashion,Roddy Ricch Featuring Mustard,2020-04-04,36,1
Blueberry Faygo,Lil Mosey,2020-04-04,37,1
Godzilla,Eminem Featuring Juice WRLD,2020-04-04,38,1
Escape From LA,The Weeknd,2020-04-04,39,1
Homesick,Kane Brown,2020-04-04,40,1
Save Your Tears,The Weeknd,2020-04-04,41,1
Woah,Lil Baby,2020-04-04,42,1
Heart On Ice,Rod Wave,2020-04-04,43,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-04-04,44,1
Faith,The Weeknd,2020-04-04,45,1
What She Wants Tonight,Luke Bryan,2020-04-04,46,1
Lose You To Love Me,Selena Gomez,2020-04-04,47,1
I Love Me,Demi Lovato,2020-04-04,48,1
Slow Dance In A Parking Lot,Jordan Davis,2020-04-04,49,1
Homemade,Jake Owen,2020-04-04,50,1
Slide,H.E.R. Featuring YG,2020-04-04,51,1
BEST ON EARTH,Russ & BIA,2020-04-04,52,1
Chasin' You,Morgan Wallen,2020-04-04,53,1
Myron,Lil Uzi Vert,2020-04-04,54,1
Roses,SAINt JHN,2020-04-04,55,1
More Hearts Than Mine,Ingrid Andress,2020-04-04,56,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-04,57,1
Dior,Pop Smoke,2020-04-04,58,1
Death Bed,Powfu Featuring beabadoobee,2020-04-04,59,1
Sum 2 Prove,Lil Baby,2020-04-04,60,1
Catch,Brett Young,2020-04-04,61,1
Sunday Best,Surfaces,2020-04-04,62,1
Does To Me,Luke Combs Featuring Eric Church,2020-04-04,63,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-04-04,64,1
homecoming queen?,Kelsea Ballerini,2020-04-04,65,1
Tusa,Karol G & Nicki Minaj,2020-04-04,66,1
P*$$y Fairy (OTW),Jhene Aiko,2020-04-04,67,1
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,2020-04-04,68,1
Repeat After Me (Interlude),The Weeknd,2020-04-04,69,1
P2,Lil Uzi Vert,2020-04-04,70,1
Supalonely,BENEE Featuring Gus Dapperton,2020-04-04,71,1
What A Man Gotta Do,Jonas Brothers,2020-04-04,72,1
That Way,Lil Uzi Vert,2020-04-04,73,1
Baby Pluto,Lil Uzi Vert,2020-04-04,74,1
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-04-04,75,1
B.S.,Jhene Aiko Featuring H.E.R.,2020-04-04,76,1
Before You Go,Lewis Capaldi,2020-04-04,77,1
Out West,JACKBOYS Featuring Young Thug,2020-04-04,78,1
The Other Side,SZA X Justin Timberlake,2020-04-04,79,1
Until I Bleed Out,The Weeknd,2020-04-04,80,1
B.I.T.C.H.,Megan Thee Stallion,2020-04-04,81,1
Know Your Worth,Khalid x Disclosure,2020-04-04,82,1
Yummy,Justin Bieber,2020-04-04,83,1
To Die For,Sam Smith,2020-04-04,84,1
Grace,Lil Baby & 42 Dugg,2020-04-04,85,1
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef,2020-04-04,86,1
Lo Mein,Lil Uzi Vert,2020-04-04,87,1
Come Thru,Summer Walker & Usher,2020-04-04,88,1
Emotionally Scarred,Lil Baby,2020-04-04,89,1
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,2020-04-04,90,1
Heatin Up,Lil Baby & Gunna,2020-04-04,91,1
Si Veo A Tu Mama,Bad Bunny,2020-04-04,92,1
Yessirskiii,Lil Uzi Vert & 21 Savage,2020-04-04,93,1
Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020-04-04,94,1
The Other Girl,Kelsea Ballerini x Halsey,2020-04-04,95,1
Make No Sense,YoungBoy Never Broke Again,2020-04-04,96,1
Into The Unknown,Idina Menzel & AURORA,2020-04-04,97,1
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-04-04,98,1
Vete,Bad Bunny,2020-04-04,99,1
La Dificil,Bad Bunny,2020-04-04,100,1
The Box,Roddy Ricch,2020-03-28,1,1
Blinding Lights,The Weeknd,2020-03-28,2,1
Don't Start Now,Dua Lipa,2020-03-28,3,1
Life Is Good,Future Featuring Drake,2020-03-28,4,1
Circles,Post Malone,2020-03-28,5,1
Roxanne,Arizona Zervas,2020-03-28,6,1
Adore You,Harry Styles,2020-03-28,7,1
Intentions,Justin Bieber Featuring Quavo,2020-03-28,8,1
Someone You Loved,Lewis Capaldi,2020-03-28,9,1
Everything I Wanted,Billie Eilish,2020-03-28,10,1
Hot Girl Bummer,blackbear,2020-03-28,11,1
Memories,Maroon 5,2020-03-28,12,1
Myron,Lil Uzi Vert,2020-03-28,13,1
Say So,Doja Cat Featuring Nicki Minaj,2020-03-28,14,1
Dance Monkey,Tones And I,2020-03-28,15,1
Heartless,The Weeknd,2020-03-28,16,1
The Bones,Maren Morris,2020-03-28,17,1
My Oh My,Camila Cabello Featuring DaBaby,2020-03-28,18,1
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef,2020-03-28,19,1
Suicidal,YNW Melly & Juice WRLD,2020-03-28,20,1
Ballin',Mustard & Roddy Ricch,2020-03-28,21,1
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-28,22,1
Godzilla,Eminem Featuring Juice WRLD,2020-03-28,23,1
BOP,DaBaby,2020-03-28,24,1
Stupid Love,Lady Gaga,2020-03-28,25,1
Yessirskiii,Lil Uzi Vert & 21 Savage,2020-03-28,26,1
Baby Pluto,Lil Uzi Vert,2020-03-28,27,1
Woah,Lil Baby,2020-03-28,28,1
Falling,Trevor Daniel,2020-03-28,29,1
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020-03-28,30,1
Lose You To Love Me,Selena Gomez,2020-03-28,31,1
No Guidance,Chris Brown Featuring Drake,2020-03-28,32,1
High Fashion,Roddy Ricch Featuring Mustard,2020-03-28,33,1
You Should Be Sad,Halsey,2020-03-28,34,1
Homesick,Kane Brown,2020-03-28,35,1
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-28,36,1
P2,Lil Uzi Vert,2020-03-28,37,1
Blueberry Faygo,Lil Mosey,2020-03-28,38,1
Homemade,Jake Owen,2020-03-28,39,1
Heart On Ice,Rod Wave,2020-03-28,40,1
That Way,Lil Uzi Vert,2020-03-28,41,1
Lo Mein,Lil Uzi Vert,2020-03-28,42,1
I Love Me,Demi Lovato,2020-03-28,43,1
Good As Hell,Lizzo,2020-03-28,44,1
Lotus,Lil Uzi Vert,2020-03-28,45,1
BEST ON EARTH,Russ & BIA,2020-03-28,46,1
Slide,H.E.R. Featuring YG,2020-03-28,47,1
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-28,48,1
What She Wants Tonight,Luke Bryan,2020-03-28,49,1
Dior,Pop Smoke,2020-03-28,50,1
Sum 2 Prove,Lil Baby,2020-03-28,51,1
Silly Watch,Lil Uzi Vert,2020-03-28,52,1
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020-03-28,53,1
Wassup,Lil Uzi Vert Featuring Future,2020-03-28,54,1
Oprah's Bank Account,"Lil Yachty, Drake & DaBaby",2020-03-28,55,1
More Hearts Than Mine,Ingrid Andress,2020-03-28,56,1
B.S.,Jhene Aiko Featuring H.E.R.,2020-03-28,57,1
Chasin' You,Morgan Wallen,2020-03-28,58,1
Slow Dance In A Parking Lot,Jordan Davis,2020-03-28,59,1
Strawberry Peels,Lil Uzi Vert Featuring Young Thug & Gunna,2020-03-28,60,1
P*$$y Fairy (OTW),Jhene Aiko,2020-03-28,61,1
Moon Relate,Lil Uzi Vert,2020-03-28,62,1
What A Man Gotta Do,Jonas Brothers,2020-03-28,63,1
Tusa,Karol G & Nicki Minaj,2020-03-28,64,1
Catch,Brett Young,2020-03-28,65,1
I Can Show You,Lil Uzi Vert,2020-03-28,66,1
We Back,Jason Aldean,2020-03-28,67,1
Trap This Way (This Way),Lil Uzi Vert,2020-03-28,68,1
I Wish Grandpas Never Died,Riley Green,2020-03-28,69,1
Si Veo A Tu Mama,Bad Bunny,2020-03-28,70,1
Death Bed,Powfu Featuring beabadoobee,2020-03-28,71,1
Leaders,Lil Uzi Vert Featuring NAV,2020-03-28,72,1
Heatin Up,Lil Baby & Gunna,2020-03-28,73,1
Sunday Best,Surfaces,2020-03-28,74,1
Grace,Lil Baby & 42 Dugg,2020-03-28,75,1
No Auto,Lil Uzi Vert Featuring Lil Durk,2020-03-28,76,1
The Other Side,SZA X Justin Timberlake,2020-03-28,77,1
Yummy,Justin Bieber,2020-03-28,78,1
B.I.T.C.H.,Megan Thee Stallion,2020-03-28,79,1
La Dificil,Bad Bunny,2020-03-28,80,1
I Hope You're Happy Now,Carly Pearce & Lee Brice,2020-03-28,81,1
Homecoming,Lil Uzi Vert,2020-03-28,82,1
Come This Way,Lil Uzi Vert,2020-03-28,83,1
To Die For,Sam Smith,2020-03-28,84,1
Emotionally Scarred,Lil Baby,2020-03-28,85,1
Does To Me,Luke Combs Featuring Eric Church,2020-03-28,86,1
Got The Guap,Lil Uzi Vert Featuring Young Thug,2020-03-28,87,1
Supalonely,BENEE Featuring Gus Dapperton,2020-03-28,88,1
Money Spread,Lil Uzi Vert Featuring Young Nudy,2020-03-28,89,1
Cardigan,Don Toliver,2020-03-28,90,1
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,2020-03-28,91,1
Vete,Bad Bunny,2020-03-28,92,1
Know Your Worth,Khalid x Disclosure,2020-03-28,93,1
Futsal Shuffle 2020,Lil Uzi Vert,2020-03-28,94,1
Prices,Lil Uzi Vert,2020-03-28,95,1
Go Stupid,Polo G Featuring NLE Choppa & Stunna 4 Vegas,2020-03-28,96,1
Before You Go,Lewis Capaldi,2020-03-28,97,1
Savage,Megan Thee Stallion,2020-03-28,98,1
Come Thru,Summer Walker & Usher,2020-03-28,99,1
Make No Sense,YoungBoy Never Broke Again,2020-03-28,100,1
The Box,Roddy Ricch,2020-03-21,1,1
Don't Start Now,Dua Lipa,2020-03-21,2,1
Life Is Good,Future Featuring Drake,2020-03-21,3,1
Blinding Lights,The Weeknd,2020-03-21,4,1
Circles,Post Malone,2020-03-21,5,1
Baby Pluto,Lil Uzi Vert,2020-03-21,6,1
Roxanne,Arizona Zervas,2020-03-21,7,1
Lo Mein,Lil Uzi Vert,2020-03-21,8,1
Silly Watch,Lil Uzi Vert,2020-03-21,9,1
